Word	Count
år	26
tid	25
dag	25
mennesker	25
verden	24
land	24
livet	23
året	23
norge	22
barn	20
samfunn	20
måte	19
folk	19
kveld	19
landet	19
håp	18
liv	17
ansvar	17
del	17
verdier	17
innsats	17
nordmenn	16
vare	16
arbeid	15
uttrykk	15
utfordringer	15
grunn	15
fred	15
tiden	14
dronningen	14
samfunnet	14
gang	13
generasjoner	13
anledning	13
møte	13
inntrykk	13
trygghet	13
historie	13
familie	13
tanker	12
deler	12
glede	12
takk	12
verdens	12
menneske	12
fellesskapet	12
medmennesker	12
samarbeid	12
nasjon	12
vold	12
muligheter	12
landets	12
oppmerksomhet	12
forhold	12
arbeidet	11
ungdom	11
nytt	11
omsorg	11
ord	11
respekt	11
høst	11
nyttårsaften	11
plass	11
krav	11
betydning	11
dagens	10
fellesskap	10
sommer	10
europa	10
utfordring	10
tro	10
sted	10
varme	10
barna	10
fremtiden	9
verdi	9
tider	9
venner	9
forståelse	9
sammenheng	9
ressurser	9
kraft	9
påminnelse	9
organisasjoner	9
arbeidslivet	9
eksempel	9
hverdag	9
dager	9
eksempler	9
tradisjoner	9
slottet	9
grad	9
frihet	9
bruk	9
konflikter	9
mulighet	9
lys	9
løpet	9
hverdagen	9
steder	8
sorg	8
krig	8
årets	8
demokrati	8
måter	8
engasjement	8
kultur	8
tvers	8
ønske	8
nød	8
hilsen	8
kampen	8
folket	8
oppgave	8
rekke	8
sykdom	8
stabilitet	8
familien	8
grenser	8
generasjon	8
ganger	8
årene	8
kvinner	8
oslo	8
livets	8
politiet	7
norges	7
meninger	7
valg	7
dagene	7
solidaritet	7
hjelp	7
fattigdom	7
fall	7
kulturer	7
kunnskap	7
enkeltpersoner	7
anledningen	7
jul	7
barns	7
økonomi	7
freden	7
kloden	7
rom	7
veien	7
mål	7
situasjon	7
utvikling	7
styrke	7
naturen	7
opplevelser	7
tradisjon	7
menneskerettigheter	7
uro	7
måten	7
mangfold	7
opplevelse	6
helse	6
byer	6
initiativ	6
forsvaret	6
krefter	6
problem	6
mulighetene	6
sak	6
tilværelsen	6
mennesket	6
tegn	6
varmen	6
velstand	6
kongefamilien	6
års	6
høytiden	6
menneskeliv	6
spørsmålet	6
virkeligheten	6
enkeltmennesker	6
morgen	6
lands	6
øyne	6
raushet	6
fremtid	6
forbindelse	6
befolkningen	6
selvfølge	6
overgrep	6
nasjoner	6
utgangspunkt	6
gave	6
menneskeverd	6
sider	6
jente	6
rett	6
konsekvenser	6
brev	6
innsatsen	6
evne	6
skolen	6
behov	6
ting	6
områder	6
besøk	6
arrangementer	6
frykt	6
utviklingen	6
gleden	6
krigen	6
ferd	6
historien	6
pris	5
klokskap	5
landegrensene	5
hold	5
problemer	5
lidelser	5
olje	5
situasjonen	5
lykke	5
usikkerhet	5
åpenhet	5
kontakt	5
høstens	5
kamp	5
grunnlaget	5
millioner	5
far	5
julen	5
verdenskrig	5
debatten	5
ledere	5
utfordringene	5
kjærlighet	5
styrker	5
nærhet	5
stedet	5
tusen	5
sikkerhet	5
lov	5
fn	5
konflikt	5
tapet	5
grupper	5
gleder	5
slutt	5
samtaler	5
merke	5
jorden	5
holdninger	5
befolkning	5
fare	5
klær	5
styrken	5
arv	5
tillit	5
bok	5
side	5
følelse	5
betydningen	5
handlinger	5
menneskets	5
verdien	5
minner	5
røtter	5
svalbard	5
feiringen	5
konsekvensene	5
hjemmet	5
optimisme	5
vekt	5
erfaring	5
verdiene	5
hat	5
løsninger	5
mat	5
siden	5
fokus	5
rettigheter	5
bakgrunn	5
gjerning	5
troen	5
identitet	5
foreldre	5
bilder	5
felleskap	5
publikum	5
dikt	5
alvor	5
møter	4
vilje	4
innhold	4
natur	4
tvil	4
press	4
området	4
grunnlag	4
usa	4
begivenheter	4
verdenssamfunnet	4
mann	4
ulykker	4
kriser	4
kirken	4
posisjon	4
arena	4
bestefar	4
mangfoldet	4
internett	4
menneskeheten	4
medier	4
slutten	4
toleranse	4
situasjoner	4
historiene	4
sorgen	4
utlandet	4
penger	4
godene	4
suksess	4
tids	4
timer	4
hudfarge	4
tragedien	4
gitt	4
religioner	4
relasjoner	4
kysten	4
enkeltmenneskers	4
rolle	4
ro	4
stede	4
møtesteder	4
fordommer	4
ansvaret	4
berikelse	4
folks	4
gjerninger	4
hjelpeorganisasjoner	4
mang	4
område	4
oppgaver	4
idealer	4
januar	4
støtte	4
hender	4
takke	4
levestandard	4
gutt	4
samtid	4
næringsliv	4
politikk	4
afghanistan	4
forandring	4
bedrifter	4
medmenneskelighet	4
utdanning	4
ordene	4
media	4
tanke	4
alder	4
møtet	4
retning	4
skjebne	4
ordet	4
bekymringer	4
oppfatning	4
spenning	4
foreldrene	4
muligheten	4
svar	4
oppdrag	4
bilde	4
forholdene	4
fortiden	4
fundament	4
familier	4
vei	4
hilsener	4
rikdom	4
samtalen	4
menn	4
fremgang	4
problemene	4
løsning	4
forskjeller	4
uker	4
arenaer	4
verdighet	4
flukt	4
menneskene	4
bevissthet	4
omgivelser	4
pågangsmot	4
miljø	4
dagen	4
omtanke	4
myndigheter	4
utenrikstjenesten	4
tillegg	4
overgangen	3
kunst	3
julens	3
enighet	3
undersøkelse	3
tragedier	3
våpen	3
fortid	3
våren	3
virkelighet	3
mediene	3
aktivitet	3
nestekjærlighet	3
hånd	3
naturens	3
aspekt	3
kjennskap	3
kongen	3
måneder	3
forskjellene	3
inngangen	3
ettertanke	3
forstand	3
handlekraft	3
arbeidsplasser	3
jord	3
forårsaket	3
reisen	3
ofre	3
øyeblikk	3
pakistan	3
tilværelse	3
ufred	3
reiser	3
finanskrisen	3
savnet	3
debatter	3
landsdel	3
omgivelsene	3
mening	3
grensene	3
engasjementet	3
lyst	3
stilling	3
kampanje	3
tv-aksjon	3
interesse	3
hjemland	3
milepæl	3
markeringen	3
klimaendringene	3
temaer	3
menneskers	3
universiteter	3
plikt	3
utenlands	3
begynnelsen	3
felt	3
tilstedeværelse	3
demokratiet	3
midler	3
fritid	3
ytringsfriheten	3
beskyttelse	3
foreldrenes	3
smerten	3
gruppe	3
